"","MUNID","LT1NAME","Geographic.code","CD_Name","CSD_type","CSD_Name","AHHI","MHHI"
"279",48021,"Mattawa T",3548021,"Nipissing","Town","Mattawa",49771,45155
"280",48022,"Calvin Tp",3548022,"Nipissing","Township","Calvin",70121,68525
"281",48026,"Bonfield Tp",NA,NA,NA,NA,NA,NA
"282",48031,"Chisholm Tp",3548031,"Nipissing","Township","Chisholm",65670,53070
"283",48034,"East Ferris M",NA,NA,NA,NA,NA,NA
"284",48044,"North Bay C",3548044,"Nipissing","City","North Bay",70804,56609
"285",48050,"West Nipissing M",3548055,"Nipissing","Municipality","West Nipissing / Nipissing Ouest",62782,51422
"286",48069,"Temagami M",3548069,"Nipissing","Municipality","Temagami",66079,49757
"287",49003,"Seguin Tp",NA,NA,NA,NA,NA,NA
"288",49005,"The Archipelago Tp",NA,NA,NA,NA,NA,NA
"289",49012,"McMurrich-Monteith Tp",NA,NA,NA,NA,NA,NA
"290",49014,"Perry Tp",NA,NA,NA,NA,NA,NA
"291",49018,"Kearney T",NA,NA,NA,NA,NA,NA
"292",49019,"Armour Tp",NA,NA,NA,NA,NA,NA
"293",49022,"Burk's Falls V",NA,NA,NA,NA,NA,NA
"294",49024,"Ryerson Tp",NA,NA,NA,NA,NA,NA
"295",49028,"McKellar Tp",NA,NA,NA,NA,NA,NA
"296",49031,"McDougall Tp",3549031,"Parry Sound","Municipality","McDougall",84896,69419
"297",49032,"Parry Sound T",3549032,"Parry Sound","Town","Parry Sound",57991,45854
"298",49036,"Carling Tp",3549036,"Parry Sound","Township","Carling",73673,61099
"299",49039,"Whitestone M",3549039,"Parry Sound","Municipality","Whitestone",52129,44088
"300",49041,"Magnetawan M",3549043,"Parry Sound","Municipality","Magnetawan",64129,50858
"301",49046,"Strong Tp",3549046,"Parry Sound","Township","Strong",80663,63976
"302",49048,"Sundridge V",3549048,"Parry Sound","Village","Sundridge",63054,38871
"303",49051,"Joly Tp",NA,NA,NA,NA,NA,NA
"304",49054,"Machar Tp",3549054,"Parry Sound","Township","Machar",62971,55683
"305",49056,"South River V",NA,NA,NA,NA,NA,NA
"306",49058,"Powassan M",3549060,"Parry Sound","Municipality","Powassan",69268,62886
"307",49066,"Callander M",3549066,"Parry Sound","Municipality","Callander",92358,87649
"308",49071,"Nipissing Tp",3549071,"Parry Sound","Township","Nipissing",93678,69751
"309",51001,"Tehkummah Tp",3551001,"Manitoulin","Township","Tehkummah",51352,37350
"310",51009,"Central Manitoulin M",NA,NA,NA,NA,NA,NA
"311",51011,"Assiginack Tp",3551011,"Manitoulin","Township","Assiginack",58782,47578
"312",51015,"Northeastern Manitoulin & The Isl. T",3551017,"Manitoulin","Town","Northeastern Manitoulin and the Islands",70391,57446
"313",51021,"Billings Tp",NA,NA,NA,NA,NA,NA
"314",51025,"Gordon/Barrie Island M",3551027,"Manitoulin","Municipality","Gordon/Barrie Island",66461,58876
"315",51026,"Gore Bay T",NA,NA,NA,NA,NA,NA
"316",51028,"Burpee and Mills Tp",3551028,"Manitoulin","Township","Burpee and Mills",59267,38107
"317",51034,"Cockburn Island Tp",NA,NA,NA,NA,NA,NA
"318",52001,"French River M",NA,NA,NA,NA,NA,NA
"319",52003,"Killarney M",NA,NA,NA,NA,NA,NA
"320",52004,"St.-Charles M",NA,NA,NA,NA,NA,NA
"321",52007,"Markstay-Warren M",3552013,"Sudbury","Municipality","Markstay-Warren",69781,54996
"322",52019,"Sables-Spanish Rivers Tp",NA,NA,NA,NA,NA,NA
"323",52026,"Espanola T",3552026,"Sudbury","Town","Espanola",72898,61353
"324",52028,"Baldwin Tp",3552028,"Sudbury","Township","Baldwin",65849,67035
"325",52031,"Nairn and Hyman Tp",NA,NA,NA,NA,NA,NA
"326",52092,"Chapleau Tp",3552092,"Sudbury","Township","Chapleau",74470,70201
"327",53005,"Greater Sudbury C",3553005,"Greater Sudbury / Grand Sudbury","City","Greater Sudbury / Grand Sudbury",76772,62481
"328",54001,"Coleman Tp",3554001,"Timiskaming","Township","Coleman",66338,54725
"329",54006,"Latchford T",3554006,"Timiskaming","Town","Latchford",40719,29255
"330",54008,"Cobalt T",NA,NA,NA,NA,NA,NA
"331",54010,"Temiskaming Shores C",3554020,"Timiskaming","City","Temiskaming Shores",65325,49760
"332",54014,"Harris Tp",3554014,"Timiskaming","Township","Harris",113492,90876
"333",54021,"Hudson Tp",NA,NA,NA,NA,NA,NA
"334",54024,"Kerns Tp",3554024,"Timiskaming","Township","Kerns",64160,56797
"335",54026,"Harley Tp",NA,NA,NA,NA,NA,NA
"336",54029,"Casey Tp",3554029,"Timiskaming","Township","Casey",65274,49879
"337",54032,"Brethour Tp",NA,NA,NA,NA,NA,NA
"338",54034,"Hilliard Tp",3554034,"Timiskaming","Township","Hilliard",NA,NA
"339",54036,"Armstrong Tp",NA,NA,NA,NA,NA,NA
"340",54038,"Thornloe V",NA,NA,NA,NA,NA,NA
