"","MUNID","MUNTIER","LT1NO","Highest.CI","UT.Total.Core.CI","Recent.Weighted.CVA","UT.Weighted.CVA","LTUTAssessmentRatio","adjusted.core.infrastructure","Indicator1","min","median","max","Weighted.Indicator1","LT1NAME","MEDIAN.HOUSEHOLD.INCOME..FINANCE.2011....","households","Indicator2","Weighted.Indicator2","Infrastructure.Index"
"337",51015,"ST",83,26463959,NA,433934151,NA,NA,26463959,0.0609861172231176,0,0.0846711530463825,0.850215013459618,-0.27972969507443,"Northeastern Manitoulin & The Isl. T",57446,2029,0.227045539431061,-0.639961598966158,-0.459845647020294
"338",51021,"ST",83,11260810,NA,161569888,NA,NA,11260810,0.0696962171565038,0,0.0846711530463825,0.850215013459618,-0.176859949948662,"Billings Tp",54992,560,0.365663901762334,-0.0182737866356447,-0.0975668682921532
"339",51025,"ST",83,6679357,NA,121146354,NA,NA,6679357,0.0551346101592129,0,0.0846711530463825,0.850215013459618,-0.348838321251981,"Gordon-Barrie Island M",58876,520,0.218168987493925,-0.70668604259744,-0.52776218192471
"340",51026,"ST",83,15906753,NA,61804728,NA,NA,15906753,0.257371135101509,0,0.0846711530463825,0.850215013459618,0.225591231261268,"Gore Bay T",43976,440,0.82207821001538,0.437644828856971,0.331618030059119
"341",51028,"ST",83,3191126,NA,60871530,NA,NA,3191126,0.0524239492583807,0,0.0846711530463825,0.850215013459618,-0.380852304802521,"Burpee and Mills Tp",38107,210,0.398767630494085,0.0182101603746142,-0.181321072213953
"342",51034,"ST",83,646440,NA,8981400,NA,NA,646440,0.0719754158594429,0,0.0846711530463825,0.850215013459618,-0.149941706592622,"Cockburn Island Tp",49683,91,0.142981226249145,-1.60415983028907,-0.877050768440847
"343",52001,"ST",88,19347209,NA,526753660,NA,NA,19347209,0.0367291401449399,0,0.0846711530463825,0.850215013459618,-0.56621424388989,"French River M",50235,2515,0.153134811119349,-1.4314913321263,-0.998852788008096
"344",52003,"ST",88,11913675,NA,182631589,NA,NA,11913675,0.0652333753718805,0,0.0846711530463825,0.850215013459618,-0.229567886761316,"Killarney M",63665,935,0.200139769036707,-0.860429677098341,-0.544998781929828
"345",52004,"ST",88,3185779,NA,177004775,NA,NA,3185779,0.0179982658659915,0,0.0846711530463825,0.850215013459618,-0.787433320340729,"St.-Charles M",54856,963,0.0603066523949952,-5.17421049082136,-2.98082190558105
"346",52007,"ST",88,14717512,NA,1620087121,NA,NA,14717512,0.00908439540641222,0,0.0846711530463825,0.850215013459618,-0.892709676441564,"Markstay-Warren M",54996,1333,0.200758131928793,-0.854699295645789,-0.873704486043677
"347",52019,"ST",88,27677224,NA,285046461,NA,NA,27677224,0.0970972377727573,0,0.0846711530463825,0.850215013459618,0.0162317084218627,"Sables-Spanish Rivers Tp",55035,1812,0.27753985974408,-0.341594559523224,-0.16268142555068
"348",52026,"ST",88,61485147,NA,501443369,NA,NA,61485147,0.122616332772764,0,0.0846711530463825,0.850215013459618,0.0495663040206464,"Espanola T",61353,2413,0.415314496479846,0.0299561080582083,0.0397612060394273
"349",52028,"ST",88,2740422,NA,49103911,NA,NA,2740422,0.05580862998876,0,0.0846711530463825,0.850215013459618,-0.340877878937255,"Baldwin Tp",67035,347,0.117811139563422,-2.1605327583055,-1.25070531862138
"350",52031,"ST",88,6345054,NA,65491621,NA,NA,6345054,0.096883447120663,0,0.0846711530463825,0.850215013459618,0.0159524420556235,"Nairn and Hyman Tp",54895,297,0.389176030272669,0.0115233259998218,0.0137378840277226
"351",52092,"ST",88,27360650,NA,79701993,NA,NA,27360650,0.343286898735393,0,0.0846711530463825,0.850215013459618,0.33781963263269,"Chapleau Tp",70201,1046,0.372607358553586,0.000176964609352757,0.168998298621021
"352",53005,"ST",23,2178361263,NA,20957939734,NA,NA,2178361263,0.103939666333998,0,0.0846711530463825,0.850215013459618,0.0251697052043687,"Greater Sudbury C",62481,74851,0.465783743426403,0.0675170550382031,0.0463433801212859
"353",54001,"ST",90,7754742,NA,133868609,NA,NA,7754742,0.0579280090973381,0,0.0846711530463825,0.850215013459618,-0.315847168567488,"Coleman Tp",54725,255,0.555701287184586,0.141696959626819,-0.0870751044703347
"354",54006,"ST",90,4569098,NA,69491869,NA,NA,4569098,0.0657501095559827,0,0.0846711530463825,0.850215013459618,-0.22346505048815,"Latchford T",29255,229,0.682016510446093,0.265201336645366,0.020868143078608
"355",54008,"ST",90,20727040,NA,40993018,NA,NA,20727040,0.505623664986072,0,0.0846711530463825,0.850215013459618,0.549873800454048,"Cobalt T",40492,559,0.915706399833037,0.581761931107332,0.56581786578069
"356",54010,"ST",90,85519883,NA,975117750,NA,NA,85519883,0.0877021087966043,0,0.0846711530463825,0.850215013459618,0.0039592189382666,"Temiskaming Shores C",49760,4400,0.39060162872698,0.0125116271615224,0.00823542304989451
"357",54014,"ST",90,829229,NA,69261133,NA,NA,829229,0.0119725012295135,0,0.0846711530463825,0.850215013459618,-0.858599997770728,"Harris Tp",90876,261,0.0349610744901182,-9.6503009794147,-5.25445048859271
