Geographic.code,CD_Name,CSD_type,CSD_Name,LT1NAME,AHHI,MHHI
3556042,Cochrane,Town,Cochrane,Cochrane T,64418,53398
3556048,Cochrane,Town,Smooth Rock Falls,Smooth Rock Falls T,71091,56927
3556052,Cochrane,Township,Fauquier-Strickland,Fauquier-Strickland Tp,51973,43402
3556056,Cochrane,Township,Moonbeam,Moonbeam Tp,74172,50349
3556066,Cochrane,Town,Kapuskasing,Kapuskasing T,66784,53212
3556070,Cochrane,Township,Val Rita-Harty,Val Rita-Harty Tp,69027,66040
3556073,Cochrane,Township,Opasatika,Opasatika Tp,NA,NA
3556076,Cochrane,Town,Hearst,Hearst T,67651,57881
3556077,Cochrane,Township,Mattice-Val C?t?,Mattice - Val Cote Tp,64437,65039
3556106,Cochrane,Town,Moosonee,Moosonee T,69483,52376
3557006,Algoma,Village,Hilton Beach,Hilton Beach V,NA,NA
3557014,Algoma,Township,Tarbutt and Tarbutt Additional,Tarbutt and Tarbutt Additional Tp,74748,60458
3557016,Algoma,Township,Johnson,Johnson Tp,57071,47957
3557019,Algoma,Township,Plummer Additional,Plummer Additional Tp,75156,64126
3557021,Algoma,Town,Bruce Mines,Bruce Mines T,56858,40539
3557028,Algoma,Town,Thessalon,Thessalon T,58440,47115
3557035,Algoma,Municipality,Huron Shores,Huron Shores M,60863,55526
3557038,Algoma,Town,Blind River,Blind River T,68035,53432
3557040,Algoma,Township,The North Shore,The North Shore Tp,74570,82996
3557041,Algoma,City,Elliot Lake,Elliot Lake C,51321,41773
3557061,Algoma,City,Sault Ste. Marie,Sault Ste. Marie C,69456,56051
3557076,Algoma,Municipality,Wawa,Wawa M,65824,53354
3557079,Algoma,Township,Dubreuilville,Dubreuilville Tp,52739,46251
3557091,Algoma,Township,White River,White River Tp,69464,58732
3558001,Thunder Bay,Municipality,Neebing,Neebing M,78509,71031
3558004,Thunder Bay,City,Thunder Bay,Thunder Bay C,71142,57646
3558011,Thunder Bay,Municipality,Oliver Paipoonge,Oliver Paipoonge M,93328,77473
3558012,Thunder Bay,Township,Gillies,Gillies Tp,72728,65127
3558016,Thunder Bay,Township,O'Connor,O'Connor Tp,81794,81720
3558019,Thunder Bay,Township,Conmee,Conmee Tp,73723,65534
3558028,Thunder Bay,Township,Shuniah,Shuniah M,103259,82199
3558034,Thunder Bay,Township,Dorion,Dorion Tp,83779,71546
3558041,Thunder Bay,Township,Red Rock,Red Rock Tp,70302,62254
3558051,Thunder Bay,Township,Schreiber,Schreiber Tp,66313,58043
3558054,Thunder Bay,Township,Terrace Bay,Terrace Bay Tp,70658,60501
3558075,Thunder Bay,Municipality,Greenstone,Greenstone M,69107,62643
